ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
371524,1004,???,Intruder,,90,1996824,29524,83476,x1,?????,,1309,1309,10,1,1,1,0,,3003,Lone Wolf,52,,,Locked
385018,3006,?,Dinergate,M,30,33000,600,2700,x5,?,????,187,187,0,0,0,0,0,,0,,50,,,Locked
475993,3006,?,Dinergate,XL,90,1968765,1465,111535,x5,?????,????,325,325,0,0,0,5,0,,0,,50,,,Locked
476008,2006,??,Manticore,L,1,0,0,100,x1,??,????,917,917,0,0,1,0,0,,0,,50,,,Locked
476021,3009,?,Jaguar,M,90,2002103,34803,78197,x5,?????,????,476,476,0,0,0,5,0,,0,,51,,,Locked
494440,1005,???,Destroyer,,90,1989113,21813,91187,x1,?????,,1200,1200,3,10,5,5,3002,Fighting Spirit,3004,Defend,51,,,Locked
514193,3002,?,Vespid,XL,9,3000,300,400,x5,?,????,398,398,0,0,0,0,0,,0,,50,,,Locked
564021,2008,??,Guard_SWAP,M,1,0,0,100,x1,??,,126,126,0,0,1,0,0,,0,,50,,,Locked
564023,2005,??,Tarantula,L,1,0,0,100,x5,??,????,167,167,0,0,1,0,0,,0,,50,,,Locked
612978,3004,?,Jaeger,XL,13,6000,200,800,x5,?,????,292,292,0,0,0,0,0,,0,,50,,,Locked
616535,3006,?,Dinergate,L,90,1968000,700,112300,x5,????,????,304,304,0,0,0,1,0,,0,,50,,,Locked
616573,2006,??,Manticore,XL,90,2038371,71071,41929,x1,?????,????,1542,1542,0,0,5,5,0,,0,,100,,,Locked
616611,3009,?,Jaguar,XL,90,2033144,65844,47156,x5,?????,????,491,491,0,0,0,5,0,,0,,52,,,Locked
633768,3001,?,Ripper,XL,1,0,0,100,x1,?,,83,83,0,0,0,0,0,,0,,50,,,Locked
750369,3001,?,Ripper,XL,1,0,0,100,x1,?,,83,83,0,0,0,0,0,,0,,50,,,Locked
750377,3006,?,Dinergate,L,30,33000,600,2700,x5,?,????,189,189,0,0,0,0,0,,0,,50,,,Locked
750387,2004,??,Nemeum,L,90,1979175,11875,101125,x5,????,????,868,868,0,0,1,1,0,,0,,50,,,Locked
786533,2010,??,Vespid_SWAP,M,1,0,0,100,x1,??,,86,86,0,0,1,0,0,,0,,50,,,
807113,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
813969,1007,???,Ouroboros,,90,1968000,700,112300,x1,?????,,1145,1145,1,1,1,1,0,,0,,50,,,Locked
826050,2003,??,Aegis,L,1,0,0,100,x5,??,????,614,614,0,0,1,0,0,,0,,50,,,Locked
848862,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
856431,2009,??,Ripper SWAP,L,1,0,0,100,x5,??,????,499,499,0,0,1,0,0,,0,,50,,,Locked
859369,2002,??,Dragoon,XL,1,0,0,100,x5,??,????,576,576,0,0,1,0,0,,0,,50,,,Locked
859370,3006,?,Dinergate,S,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
872722,3006,?,Dinergate,L,1,0,0,100,x5,?,????,158,158,0,0,0,0,0,,0,,50,,,Locked
872945,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,Locked
896969,3006,?,Dinergate,L,1,0,0,100,x5,?,????,158,158,0,0,0,0,0,,0,,50,,,Locked
896973,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
913447,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
932190,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
952131,3002,?,Vespid,XL,1,0,0,100,x5,?,????,376,376,0,0,0,0,0,,0,,50,,,Locked
956038,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,Locked
972321,2005,??,Tarantula,M,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,Locked
976929,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
984968,2010,??,Vespid_SWAP,L,1,0,0,100,x5,??,????,430,430,0,0,1,0,0,,0,,50,,,Locked
986790,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,Locked
989926,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
990834,2008,??,Guard_SWAP,XL,1,0,0,100,x5,??,????,638,638,0,0,1,0,0,,0,,50,,,Locked
990840,2005,??,Tarantula,M,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,Locked
990847,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
994981,2004,??,Nemeum,L,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,Locked
994987,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
995003,3003,?,Guard,XL,1,0,0,100,x1,?,,111,111,0,0,0,0,0,,0,,50,,,Locked
995008,2009,??,Ripper SWAP,M,1,0,0,100,x1,??,,99,99,0,0,1,0,0,,0,,50,,,
995010,1008,???,Alchemist,,90,2010923,43623,69377,x1,?????,,1025,1025,1,1,5,5,1003,Phantom Stance,1004,Ample Fuel,53,,,Locked
1017141,3008,?,Prowler,XL,1,0,0,100,x1,?,,75,75,0,0,0,0,0,,0,,50,,,Locked
1022781,2004,??,Nemeum,L,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,Locked
1025036,2012,??,Dragoon_SWAP,L,1,0,0,100,x1,??,,119,119,0,0,1,0,0,,0,,50,,,Locked
1030003,3005,?,Striker,L,1,0,0,100,x1,?,,65,65,0,0,0,0,0,,0,,50,,,
1034670,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
1036978,3005,?,Striker,L,1,0,0,100,x1,?,,65,65,0,0,0,0,0,,0,,50,,,
1039952,3009,?,Jaguar,XS,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,Locked
1047672,3005,?,Striker,M,1,0,0,100,x1,?,,65,65,0,0,0,0,0,,0,,50,,,
1049918,2005,??,Tarantula,S,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,Locked
1055579,3009,?,Jaguar,S,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
1066789,3006,?,Dinergate,L,1,0,0,100,x5,?,????,158,158,0,0,0,0,0,,0,,50,,,Locked
1069372,3005,?,Striker,M,1,0,0,100,x1,?,,65,65,0,0,0,0,0,,0,,50,,,
1073856,3001,?,Ripper,M,1,0,0,100,x1,?,,81,81,0,0,0,0,0,,0,,50,,,
1073859,3001,?,Ripper,L,1,0,0,100,x1,?,,82,82,0,0,0,0,0,,0,,50,,,
1114184,2012,??,Dragoon_SWAP,M,1,0,0,100,x1,??,,118,118,0,0,1,0,0,,0,,50,,,
1114185,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
1114188,3002,?,Vespid,XL,1,0,0,100,x1,?,,76,76,0,0,0,0,0,,0,,50,,,Locked
1114189,3004,?,Jaeger,L,1,0,0,100,x4,?,???,214,214,0,0,0,0,0,,0,,50,,,Locked
1124556,3004,?,Jaeger,M,1,0,0,100,x1,?,,53,53,0,0,0,0,0,,0,,50,,,
1132328,3005,?,Striker,M,1,0,0,100,x1,?,,65,65,0,0,0,0,0,,0,,50,,,
1139698,2002,??,Dragoon,M,1,0,0,100,x1,??,,114,114,0,0,1,0,0,,0,,50,,,
1147179,3004,?,Jaeger,M,1,0,0,100,x1,?,,53,53,0,0,0,0,0,,0,,50,,,
1147180,2002,??,Dragoon,M,1,0,0,100,x1,??,,114,114,0,0,1,0,0,,0,,50,,,
1150306,3007,?,Scout,XL,1,0,0,100,x1,?,,63,63,0,0,0,0,0,,0,,50,,,
1152372,3004,?,Jaeger,S,1,0,0,100,x1,?,,53,53,0,0,0,0,0,,0,,50,,,
1156656,3004,?,Jaeger,M,1,0,0,100,x1,?,,53,53,0,0,0,0,0,,0,,50,,,
1158090,3004,?,Jaeger,M,1,0,0,100,x1,?,,53,53,0,0,0,0,0,,0,,50,,,
1160074,3002,?,Vespid,XL,1,0,0,100,x1,?,,76,76,0,0,0,0,0,,0,,50,,,
