event_id,datetime,prize_id,prize
398,2022-08-02 01:59:47,801,Manpower*100
398,2022-08-02 01:59:47,811,Parts*200
398,2022-08-02 01:59:47,839,Battery*20
398,2022-08-02 01:59:47,816,Enhancement Capsule*2
398,2022-08-02 01:59:47,831,Intermediate Training Data*30
398,2022-08-02 01:59:47,802,Manpower*200
398,2022-08-02 01:59:47,919,Original Sample
398,2022-08-02 01:59:47,919,Original Sample
398,2022-08-02 01:59:47,803,Manpower*300
398,2022-08-02 01:59:49,804,Ammo*100
398,2022-08-02 01:59:49,920,Pure Sample
398,2022-08-02 01:59:49,810,Parts*100
398,2022-08-02 01:59:49,801,Manpower*100
398,2022-08-02 01:59:49,920,Pure Sample
398,2022-08-02 01:59:49,839,Battery*20
398,2022-08-02 01:59:49,919,Original Sample
398,2022-08-02 01:59:49,837,Calibration Ticket*20
398,2022-08-02 01:59:49,809,Rations*300
398,2022-08-02 01:59:49,832,Intermediate Training Data*40
398,2022-08-02 01:59:51,801,Manpower*100
398,2022-08-02 01:59:51,878,Memory Fragment*10
398,2022-08-02 01:59:51,817,Enhancement Capsule*3
398,2022-08-02 01:59:51,1140,prize-10001140
398,2022-08-02 01:59:51,920,Pure Sample
398,2022-08-02 01:59:51,816,Enhancement Capsule*2
398,2022-08-02 01:59:51,827,Basic Training Data*20
398,2022-08-02 01:59:51,808,Rations*200
398,2022-08-02 01:59:51,839,Battery*20
398,2022-08-02 01:59:51,818,Enhancement Capsule*4
398,2022-08-02 01:59:53,810,Parts*100
398,2022-08-02 01:59:53,825,Quick Repair*1
398,2022-08-02 01:59:53,827,Basic Training Data*20
398,2022-08-02 01:59:53,919,Original Sample
398,2022-08-02 01:59:53,827,Basic Training Data*20
398,2022-08-02 01:59:53,824,Quick Production*1
398,2022-08-02 01:59:53,831,Intermediate Training Data*30
398,2022-08-02 01:59:53,816,Enhancement Capsule*2
398,2022-08-02 01:59:53,829,Basic Training Data*40
398,2022-08-02 01:59:53,831,Intermediate Training Data*30
398,2022-08-02 01:59:55,834,Advanced Training Data*30
398,2022-08-02 01:59:55,840,Battery*30
398,2022-08-02 01:59:55,834,Advanced Training Data*30
398,2022-08-02 01:59:55,830,Intermediate Training Data*20
398,2022-08-02 01:59:55,839,Battery*20
398,2022-08-02 01:59:55,807,Rations*100
398,2022-08-02 01:59:55,805,Ammo*200
398,2022-08-02 01:59:55,811,Parts*200
398,2022-08-02 01:59:55,1143,prize-10001143
398,2022-08-02 01:59:55,220230,prize-10220230
