ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
105792407,66,AR,????,Type56-1,30,45000,0,0,x3,,267,267,30,14,14,55,10,0,0,20,1,0,,,,50,,,Locked
105817266,247,RF,????,K31,70,742125,0,0,x4,,264,264,108,60,30,35,7,0,0,40,1,0,,,,100,,,Locked
105831560,86,MG,???,MG42,30,48024,0,0,x3,,321,321,51,9,11,103,4,0,10,5,1,0,,,,50,,,Locked
105900025,237,AR,????,SAR-21,39,104340,0,0,x3,,240,240,28,22,19,66,10,0,0,20,1,0,,,,51,,,Locked
106453497,194,AR,?????,K2,97,2873415,0,0,x5,,625,625,52,52,44,78,10,0,0,20,10,0,PEQ-16A,APCR High-Velocity Ammo,,100,,,Locked
106632032,135,SMG,?????,SR-3MP,90,1995474,0,0,x5,,920,920,31,12,66,88,12,0,0,5,10,0,,,PEQ-15,100,,,Locked
106894705,185,MG,????,Ameli,50,222000,0,0,x3,,315,315,54,21,24,121,4,0,8,5,1,0,,,,50,,,Locked
106943675,217,RF,???,SM-1,91,2091625,0,0,x5,,390,390,95,77,39,39,7,0,0,40,1,0,,,,100,,,Locked
107105090,231,RF,?????,M82A1,90,2048122,0,0,x5,,420,420,155,74,29,32,7,0,0,40,10,0,,VFL 6-24X56,,100,,,Locked
107266403,46,RF,?????,Kar98k,100,3263300,-,-,x5,,420,420,142,82,44,34,7,0,0,40,2,0,Mk211 High-Explosive Armor-Piercing Ammo,VFL 6-24X56,,100,,,Locked
107531892,23,SMG,????,PP-90,30,46908,0,0,x3,,309,309,15,7,35,75,12,0,0,5,1,0,,,,100,,,Locked
107543697,248,HG,????,Jericho,90,1975900,0,0,x5,,365,365,31,49,61,58,15,0,0,20,1,0,,,,100,,,Locked
107554783,100,HG,????,P7,32,56400,0,0,x3,,126,126,18,25,34,48,15,0,0,20,1,0,,,,50,,,Locked
107677931,161,SG,????,Type97S,90,2005009,0,0,x5,,1255,1255,33,12,13,27,6,18,3,40,1,0,,SABOT Slug,,100,,,Locked
107817898,116,SMG,???,Z-62,70,704400,0,0,x4,,568,568,25,13,60,70,12,0,0,5,8,0,,,,100,,,Locked
108304158,220,HG,???,MP-443,70,705000,0,0,x3,,177,177,27,39,52,54,15,0,0,20,1,0,,,,50,,,Locked
108520316,209,SMG,???,OTs-39,30,45000,0,0,x3,,369,369,16,6,29,59,12,0,0,5,1,0,,,,50,,,Locked
108728580,137,SMG,????,PP-19-01,30,45000,0,0,x3,,378,378,16,6,27,68,12,0,0,5,1,0,,,,55,,,Locked
108880427,178,SMG,???,F1,30,45000,0,0,x3,,411,411,15,6,23,62,12,0,0,5,1,0,,,,50,,,Locked
108987076,226,RF,????,Mk 12,11,6000,0,0,x2,,90,90,43,18,7,33,7,0,0,40,1,0,,,,50,,,Locked
109329482,228,SMG,?????,100 Shiki,50,222000,0,0,x3,,474,474,20,8,38,64,12,0,0,5,1,0,,,,50,,,Locked
109376431,119,AR,?????,OTs-14,97,2852328,0,0,x5,,545,545,51,56,56,74,10,0,0,20,9,0,PEQ-16A,APCR High-Velocity Ammo,,100,,,Locked
109915409,229,SG,?????,M870,90,1975642,0,0,x5,,1255,1255,33,13,12,28,6,21,4,40,8,0,Type 2 Armor Plate,SABOT Slug,,100,,,Locked
111064285,115,SMG,?????,Suomi,90,2031150,0,0,x3,,627,627,28,15,55,90,12,0,0,5,1,0,,,,100,,,Locked
112798675,28,SMG,?????,Gr MP7,48,204100,0,0,x1,,146,146,23,9,40,78,12,0,0,5,3,0,,,,100,,,Locked
113298222,269,HG,????,Gr P30,72,803925,0,0,x4,,240,240,26,47,64,50,15,0,0,20,8,0,,,,69,,,Locked
113653209,256,RF,???,Falcon,100,3263300,-,-,x5,,440,440,147,75,30,32,7,0,0,40,10,0,,,,100,,,Locked
113773929,270,RF,????,4 Shiki,90,1977000,0,0,x5,,400,400,111,71,35,38,7,0,0,40,10,0,,,,100,,,Locked
113810176,171,AR,????,Ribeyrolles,100,3263300,-,-,x5,,550,550,68,47,42,63,10,0,0,20,1,0,,,,100,,,Locked
113823469,168,HG,????,Spitfire,90,1991635,0,0,x5,,330,330,33,58,69,58,15,0,0,20,1,0,,,,100,,,Locked
116328653,35,RF,???,M1A1,1,0,0,0,x1,,42,42,37,11,7,26,7,0,0,40,1,0,,,,100,,,Locked
117782457,234,SMG,?????,JS 9,96,2712204,0,0,x5,,880,880,28,15,88,88,12,0,0,5,10,0,IOP T4 Exoskeleton,,,100,,,Locked
117876507,36,RF,????,Springfield,90,1977000,0,0,x5,,400,400,126,70,39,31,7,0,0,40,2,0,,,,100,,,Locked
118565339,20101,SMG,?????,UMP9 Mod,114,8919045,0,0,x5,Mod2,900,900,31,18,88,87,12,0,0,5,1,1,,,,100,,,Locked
119459923,1010,HG,?????,El Fail,7,2258,0,0,x1,,35,35,13,12,16,41,15,0,0,20,1,0,,,,100,,,Locked
120270415,211,RF,?????,SRS,30,46995,0,0,x3,,168,168,76,34,14,27,7,0,0,40,1,0,,,,100,,,Locked
120281410,202,HG,????,Thunder,96,2760331,0,0,x5,,425,425,48,58,61,36,15,0,0,40,8,0,,,,100,,,Locked
121167415,129,AR,?????,Type95,30,45000,0,0,x3,,225,225,31,21,18,55,10,0,0,20,1,0,,,,50,,,Locked
121169942,257,RF,?????,M200,90,2065365,0,0,x5,,420,420,142,93,31,33,7,0,0,40,10,0,,,,100,,,Locked
121171664,104,SMG,?????,Gr G36c,30,45000,0,0,x3,,393,393,19,6,27,67,12,0,0,5,1,0,,,,50,,,Locked
125312353,131,SMG,???,EVO 3,1,0,0,0,x1,,97,97,10,3,11,65,12,0,0,5,1,0,,,,100,,,Locked
125657244,167,HG,???,Gr HK45,1,0,0,0,x1,,33,33,14,9,12,38,15,0,0,20,1,0,,,,100,,,Locked
128166078,145,RF,???,OTs-44,1,0,0,0,x1,,40,40,55,9,5,21,7,0,0,40,1,0,,,,100,,,Locked
128501998,146,RF,????,Gr G28,30,45000,0,0,x3,,171,171,66,31,12,30,7,0,0,40,1,0,,,,50,,,Locked
128700972,264,MG,????,Chauchat,90,1976568,0,0,x5,,825,825,101,33,29,79,4,0,9,5,1,0,,,,100,,,Locked
128710585,238,MG,?????,QJY-88,90,1986702,0,0,x5,,785,785,84,32,34,122,4,0,10,5,2,0,Mk211 High-Explosive Armor-Piercing Ammo,,,100,,,Locked
129343359,157,SG,?????,Am KSG,100,3263300,-,-,x5,,1265,1265,31,14,13,30,6,24,5,40,8,0,Type 3 Armor Plate,,,100,,,Locked
130511856,127,SMG,?????,Type79,71,767500,0,0,x3,,498,498,29,10,56,81,12,0,0,5,1,0,,S&B762,,100,,,Locked
131282692,210,HG,???,CZ52,70,705000,0,0,x2,,130,130,27,37,51,48,15,0,0,20,1,0,,,,50,,,Locked
131282934,251,SMG,?????,X95,91,2094615,0,0,x5,,925,925,35,13,66,88,12,0,0,5,10,0,,,,100,,,Locked
131322362,213,SMG,?????,C-MS,90,2071533,0,0,x5,,880,880,32,15,72,84,12,0,0,5,10,0,,,,100,,,Locked
132050973,204,RF,?????,Ballista,1,0,0,0,x1,,41,41,48,11,5,23,7,0,0,40,1,0,,,,100,,,Locked
132229034,97,HG,?????,M950A,90,2004908,0,0,x5,,365,365,30,53,67,70,15,0,0,20,1,0,,,IOP T4 Exoskeleton,100,,,Locked
132374956,197,RF,?????,Carcano M1891,100,3263300,-,-,x5,,400,400,145,90,45,34,7,0,0,40,10,0,,,,100,,,Locked
132713559,73,AR,?????,AUG,100,3263300,-,-,x5,,605,605,61,63,51,75,10,0,0,30,10,0,VFL 6-24X56,APCR High-Velocity Ammo,IOP X4 Exoskeleton,150,Oathed,2020-09-22 11:12,Locked
133450210,265,AR,???,Gr HK33,30,45000,0,0,x3,,204,204,29,21,19,57,10,0,0,20,1,0,,,,100,,,Locked
133773413,164,SG,?????,FP-6,21,22200,0,0,x2,,312,312,18,6,5,22,6,7,4,40,1,0,,,,100,,,Locked
134444021,148,RF,?????,IWS 2000,90,2076886,0,0,x5,,420,420,159,75,29,31,7,0,0,40,8,0,,VFL 6-24X56,,100,,,Locked
134662594,200,RF,????,XM3,90,1977000,0,0,x5,,390,390,129,87,31,34,7,0,0,40,1,0,,,,100,,,Locked
134933330,126,HG,?????,NZ75,71,779708,0,0,x3,,186,186,29,50,58,57,15,0,0,20,1,0,,,,100,,,Locked
135031101,261,RF,?????,QBU-88,30,45000,0,0,x3,,165,165,67,33,16,32,7,0,0,40,1,0,,,,55,,,Locked
135046457,130,AR,?????,Type97,30,45000,0,0,x3,,225,225,30,20,18,55,10,0,0,20,1,0,,,,50,,,Locked
135737324,20063,AR,????,Gr G3 Mod,115,10083300,0,0,x5,Mod3,565,565,61,57,41,64,10,0,0,20,1,1,,,,100,,,Locked
137143043,110,MG,??,FG42,91,2187714,0,0,x5,,710,710,87,28,33,118,4,0,8,5,1,0,,,,100,,,Locked
138410904,236,AR,?????,K11,90,1977000,0,0,x5,,640,640,49,50,34,73,10,0,0,20,1,0,,APCR High-Velocity Ammo,,50,,,Locked
138879918,20031,SMG,????,M38 Mod,101,3368917,0,0,x5,Mod1,1060,1060,34,13,61,78,12,0,0,5,1,0,,,,100,,,Locked
139213109,288,AR,????,CR-21,90,1977000,0,0,x5,,525,525,48,51,41,78,10,0,0,20,1,0,,,,100,,,Locked
139576225,125,MG,?????,Gr MG4,99,3137326,0,0,x5,,905,905,88,35,35,138,4,0,9,5,8,0,,Gr MG4 MGO,,100,,,Locked
140725823,205,AR,?????,AN-94,93,2421200,0,0,x5,,560,560,55,67,48,74,10,0,0,20,10,0,VFL 6-24X56,16Lab High-Velocity Ammo,,100,,,Locked
141036518,268,RF,???,T-CMS,70,705000,0,0,x2,,150,150,102,58,21,33,7,0,0,40,1,0,,,,100,,,Locked
141237876,20002,HG,????,M1911 Mod,113,8187314,0,0,x5,Mod2,370,370,30,54,80,58,15,0,0,20,2,1,,ILM Hollow-Point Ammo,IOP X4 Exoskeleton,100,,,Locked
141864131,262,AR,????,EM-2,90,1983167,0,0,x5,,565,565,56,47,47,60,10,0,0,20,8,0,,,,100,,,Locked
141915102,206,AR,?????,AK-12,90,1976439,0,0,x5,,525,525,55,59,51,75,10,0,0,20,2,0,,,,100,,,Locked
141915103,263,MG,?????,Gr MG36,30,45000,0,0,x3,,354,354,48,14,15,97,4,0,10,5,1,0,,,,100,,,Locked
142518801,163,SG,?????,AA-12,69,694763,0,0,x1,,227,227,27,10,9,35,6,16,5,40,1,0,,FRAG-12 High Explosive Rounds,,100,,,Locked
142868655,196,AR,?????,Zas M21,81,1357414,0,0,x4,,440,440,51,42,36,69,10,0,0,20,1,0,,,,100,,,Locked
142879584,1027,AR,?????,Angelica,94,2562618,0,0,x5,,590,590,56,57,46,74,10,0,0,30,10,0,PEQ-16A,APCR High-Velocity Ammo,Fairy Tale Picture Books,100,,,Locked
143237556,1023,SMG,?????,Henrietta,80,1248611,0,0,x4,,684,684,29,14,72,87,12,0,0,5,1,0,,,,100,,,Locked
143358645,153,SG,????,M37,30,45000,0,0,x3,,492,492,20,5,5,21,6,9,4,40,1,0,,,,50,,,Locked
144285649,1025,SG,?????,Triela,9,4030,0,0,x1,,137,137,17,4,4,19,6,4,4,40,1,0,,,,100,,,Locked
145501342,79,MG,???,FF M249SAW,30,45000,0,0,x3,,306,306,42,13,14,105,4,0,8,5,1,0,,,,50,,,Locked
148107354,274,AR,?????,ACR,90,1991186,0,0,x5,,550,550,53,52,47,74,10,0,0,30,10,0,,APCR High-Velocity Ammo,,100,,,Locked
148107477,272,HG,?????,Desert Eagle,100,3263300,-,-,x5,,365,365,44,60,70,55,15,0,0,40,10,0,,,,100,,,Locked
148576544,258,AR,???,Magal,30,45000,0,0,x3,,225,225,27,19,18,53,10,0,0,20,1,0,,,,100,,,Locked
148793603,112,MG,?????,Negev,70,710105,0,0,x4,,588,588,71,28,29,124,4,0,9,5,1,0,,,,100,,,Locked
149860413,20081,MG,????,LWMMG Mod,107,4424029,0,0,x5,Mod1,875,875,107,28,26,92,4,0,10,5,6,0,,,,100,,,Locked
150091193,99,HG,????,Gr Mk23,73,861073,0,0,x4,,276,276,26,44,54,58,15,0,0,20,1,0,,,,100,,,Locked
151649486,205,AR,?????,AN-94,70,709008,0,0,x4,,392,392,46,52,37,68,10,0,0,20,1,0,,,,100,,,Locked
152352956,156,SG,????,Super-Shorty,77,1067949,0,0,x4,,856,856,26,13,16,28,6,16,3,40,1,0,,#000 Buckshot,,100,,,Locked
152353995,203,SMG,????,Honey Badger,1,0,0,0,x1,,99,99,14,2,10,60,12,0,0,5,1,0,,,,50,,,Locked
152414274,95,RF,???,Type88,44,154829,0,0,x3,,219,219,69,31,19,26,7,0,0,40,1,0,,,,78,,,Locked
153338928,208,MG,?????,HMG21,90,2036772,0,0,x5,,800,800,86,27,30,131,4,0,10,5,1,0,,,,77,,,Locked
153965850,280,SMG,????,MAT-49,90,1977000,0,0,x5,,880,880,28,13,67,77,12,0,0,5,1,0,,,,50,,,Locked
154235256,1028,SMG,?????,Agent Vector,92,2277773,0,0,x5,,890,890,30,11,70,98,12,0,0,5,8,0,Go-Bag "V",.45 Hollow Point Ammo (Incendiary),Osprey 45 Silencer,100,,,Locked
155000550,165,SG,????,M1014,70,708000,0,0,x4,,936,936,25,9,9,29,6,16,4,40,1,0,,,,50,,,Locked
156459965,20152,SG,????,M1897 Mod,105,4035599,0,0,x5,Mod1,1330,1330,38,13,12,26,6,21,4,40,1,0,,,,100,,,Locked
157324909,87,MG,??,MG34,90,2073784,0,0,x5,,785,785,79,20,23,116,4,0,10,5,1,0,,,,72,,,Locked
158018325,65,AR,?????,416,30,45000,0,0,x3,,237,237,29,18,18,59,10,0,0,20,1,0,,,,50,,,Locked
158230216,159,SG,???,RMB-93,1,0,0,0,x1,,121,121,12,2,2,20,6,3,4,40,1,0,,,,50,,,Locked
160366091,179,RF,?????,Gd DSR-50,31,51258,0,0,x1,,54,54,92,36,14,24,7,0,0,40,1,0,,,,100,,,Locked
160425543,20,SMG,?????,Vector,36,79791,0,0,x1,,126,126,20,7,34,82,12,0,0,5,1,0,,,,100,,,Locked
160799006,243,AR,?????,64 Shiki,70,705000,0,0,x4,,424,424,53,46,32,56,10,0,0,20,1,0,,,,50,,,Locked
160936594,20221,HG,????,GSh-18 Mod,110,5263350,0,0,x5,Mod2,365,365,36,55,93,57,15,0,0,20,1,1,PEQ-15,,IOP T4 Exoskeleton,100,,,Locked
161900520,287,AR,?????,SIG-556,30,45000,0,0,x3,,237,237,29,18,18,59,10,0,0,20,1,0,,,,50,,,Locked
163284702,88,MG,????,MG3,11,6000,0,0,x2,,218,218,38,7,5,94,4,0,10,5,1,0,,,,50,,,Locked
163314529,292,MG,?????,RPK-16,90,2071505,0,0,x5,,785,785,83,36,34,124,4,0,10,5,10,0,Mk211 High-Explosive Armor-Piercing Ammo,VFL 6-24X56,,100,,,Locked
163751881,160,SG,?????,Saiga-12,70,705000,0,0,x3,,672,672,24,9,8,32,6,17,5,40,1,0,,,,50,,,Locked
165004846,282,SG,?????,DP-12,30,45000,0,0,x3,,492,492,18,6,6,24,6,9,5,40,1,0,,,,50,,,Locked
165179650,297,AR,????,FI M82,30,45000,0,0,x3,,219,219,28,18,18,58,10,0,0,20,1,0,,,,50,,,Locked
165513571,173,MG,?????,PKP,90,1977000,0,0,x5,,785,785,89,29,27,123,4,0,10,5,10,0,,,,50,,,Locked
166204353,20093,SMG,????,IDW Mod,110,5512330,0,0,x5,Mod2,760,760,29,17,95,75,12,0,0,5,1,1,,,,100,,,Locked
166566843,199,MG,????,Type80,11,6000,0,0,x2,,192,192,42,7,7,87,4,0,10,5,1,0,,,,50,,,Locked
167170029,303,HG,?????,HP-35,70,711000,0,0,x4,,260,260,25,47,65,52,15,0,0,20,2,0,,,,50,,,Locked
167754381,311,SMG,?????,Lusa,37,87504,0,0,x1,,140,140,19,7,33,76,12,0,0,5,1,0,,,,100,,,Locked
169373988,293,AR,?????,AK-15,1,0,0,0,x1,,55,55,19,6,6,50,10,0,0,20,10,0,,,,50,,,Locked
169863121,156,SG,????,Super-Shorty,1,0,0,0,x1,,121,121,10,2,3,20,6,3,3,40,1,0,,,,50,,,Locked
170189475,201,RF,???,Gepard M1,11,6000,0,0,x2,,98,98,61,17,7,21,7,0,0,40,1,0,,,,50,,,Locked
170683984,1009,HG,?????,El Clear,1,0,0,0,x1,,33,33,10,7,10,39,15,0,0,20,1,0,,,,50,,,Locked
170807007,230,RF,???,OBR,1,0,0,0,x1,,41,41,42,10,4,25,7,0,0,40,1,0,,,,55,,,Locked
171436292,113,HG,???,Serdyukov,1,0,0,0,x1,,35,35,12,8,9,40,15,0,0,20,1,0,,,,50,,,Locked
172172284,154,SG,???,M500,11,6000,0,0,x2,,292,292,15,3,3,22,6,5,4,40,1,0,,,,50,,,Locked
172749485,20071,AR,????,Galil Mod,115,10083300,0,0,x5,Mod3,630,630,56,52,47,66,10,0,0,20,2,1,,,Galil Special Handguards,100,,,Locked
174849405,337,RF,?????,De Lisle,1,0,0,0,x1,,51,51,37,10,5,24,7,0,0,40,1,0,,,,50,,,Locked
174853571,207,AR,????,CZ2000,30,45000,0,0,x3,,216,216,27,18,18,61,10,0,0,20,1,0,,,,50,,,Locked
175620924,306,AR,?????,AK-Alfa,11,6000,0,0,x2,,128,128,23,11,11,52,10,0,0,20,1,0,,,,50,,,Locked
175823920,81,MG,??,LWMMG,1,0,0,0,x1,,87,87,39,4,4,65,4,0,9,5,1,0,,,,50,,,Locked
175878819,324,SG,?????,M6 ASW,11,6000,0,0,x2,,286,286,17,4,4,20,6,5,4,40,1,0,,,,50,,,Locked
175970572,39,RF,????,Mosin-Nagant,70,708000,0,0,x4,,300,300,105,63,28,27,7,0,0,40,1,0,,,,50,,,Locked
177351526,1031,RF,?????,Pekola,1,0,0,0,x1,,44,44,39,8,4,23,7,0,0,40,1,0,,,,50,,,Locked
177423454,9,HG,??,P38,30,45000,0,0,x3,,129,129,16,19,31,44,15,0,0,20,1,0,,,,50,,,Locked
178375333,73,AR,?????,AUG,1,0,0,0,x1,,61,61,19,7,6,50,10,0,0,30,1,0,,,,50,,,Locked
178571075,313,AR,?????,S-ACR,30,45000,0,0,x3,,240,240,25,18,16,70,10,0,0,20,1,0,,,,50,,,Locked
180036714,206,AR,?????,AK-12,11,6000,0,0,x2,,122,122,22,13,11,53,10,0,0,20,1,0,,,,50,,,Locked
180670819,155,SG,????,M590,1,0,0,0,x1,,132,132,13,2,2,22,6,3,4,40,1,0,,,,50,,,Locked
181937020,315,SMG,?????,AUG Para,30,45000,0,0,x3,,360,360,17,6,32,69,12,0,0,5,10,0,,,,50,,,Locked
182057642,318,AR,?????,VHS,1,0,0,0,x1,,58,58,19,6,6,51,10,0,0,20,1,0,,,,50,,,Locked
182355060,316,RF,?????,General Liu,33,62950,0,0,x3,,159,159,77,35,13,31,7,0,0,40,1,0,,,,53,,,Locked
182512074,1029,AR,?????,Agent 416,1,0,0,0,x1,,61,61,19,6,6,52,10,0,0,20,1,0,,,,50,,,Locked
182739094,243,AR,?????,64 Shiki,1,0,0,0,x1,,63,63,22,7,5,40,10,0,0,20,1,0,,,,50,,,Locked
183033090,317,RF,????,Mondragon M1908,1,0,0,0,x1,,42,42,40,9,4,27,7,0,0,40,1,0,,,,50,,,Locked
183033511,290,AR,?????,89 Shiki,1,0,0,0,x1,,61,61,20,6,6,54,10,0,0,20,1,0,,,,50,,,Locked
183220201,295,SMG,????,CF-05,1,0,0,0,x1,,96,96,10,2,10,61,12,0,0,5,1,0,,,,50,,,Locked
183312988,316,RF,?????,General Liu,1,0,0,0,x1,,40,40,47,10,4,26,7,0,0,40,1,0,,,,50,,,
183474804,39,RF,????,Mosin-Nagant,1,0,0,0,x1,,44,44,45,10,5,20,7,0,0,40,1,0,,,,50,,,
183509510,315,SMG,?????,AUG Para,1,0,0,0,x1,,93,93,11,2,11,60,12,0,0,5,1,0,,,,50,,,
183599817,41,RF,??,SKS,1,0,0,0,x1,,47,47,39,8,5,24,7,0,0,40,1,0,,,,50,,,
183602347,107,AR,??,FF F2000,1,0,0,0,x1,,53,53,16,6,6,57,10,0,0,20,1,0,,,,50,,,
183604868,70,AR,???,FF FNC,1,0,0,0,x1,,55,55,19,6,5,50,10,0,0,20,1,0,,,,50,,,
183604922,24,SMG,??,PP-2000,1,0,0,0,x1,,80,80,12,2,11,57,12,0,0,5,1,0,,,,50,,,
